shop,name,url,price,score,trading,review
周家刀旗舰店,切片刀周家刀手工锻打菜刀厨房刀具家用切片刀砍骨刀厨师切肉刀,https://detail.tmall.com/item.htm?id=45402297289&skuId=4611686063829685193&user_id=2421072120&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,148.00,81.0,23笔,35
蜀品汇家居专营店,楚家刀菜刀 家用铭钨钢切肉刀切片刀 手工锻打花纹钢刀具 厨师刀,https://detail.tmall.com/item.htm?id=521848769793&skuId=3218811655903&user_id=2114728939&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,128.00,126.0,41笔,44
鑫荣达芸锋专卖店,鑫荣达正品菜刀切片刀 家用厨房切肉刀具 不锈钢菜刀切菜刀,https://detail.tmall.com/item.htm?id=45378223762&skuId=3128029034234&user_id=2453044157&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,25.00,3993.0,200笔,3593
kyocera京瓷旗舰店,京瓷KYOCERA 陶瓷刀 切菜刀 切肉刀切片厨房刀具6寸黑刃FK-150N,https://detail.tmall.com/item.htm?id=525076277783&skuId=3242536981283&user_id=2620731815&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,735.00,117.0,39笔,39
德世朗礼源专卖店,德世朗菜刀切片刀 德国不锈钢切菜刀 手工锻打家用厨房切肉刀具,https://detail.tmall.com/item.htm?id=44363458401&skuId=4611686062790846305&user_id=2460731286&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,139.00,493.0,10笔,473
pinpinu品品优旗舰店,进口刀具菜刀 家用不锈钢切菜刀切肉刀 日本厨房锻打刀具锋利正品,https://detail.tmall.com/item.htm?id=537655559509&skuId=3211745932148&user_id=2352109409&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,139.00,203.0,76笔,51
百世特旗舰店,百世特切菜刀 手工锻打厨师刀专业菜刀不锈钢切片刀家用厨房刀具,https://detail.tmall.com/item.htm?id=527339479720&skuId=3138275576501&user_id=2452378698&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,24.90,2757.0,194笔,2369
胡子王旗舰店,金门炮弹钢菜刀 胡子王百乐片刀 厨房刀具不粘切肉片刀切菜刀,https://detail.tmall.com/item.htm?id=15046898694&skuId=4611686033474286598&user_id=879857894&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,69.00,1428.0,219笔,990
仕利雅旗舰店,仕利雅菜刀不锈钢厨房刀具德国家用切肉刀厨刀桑刀厨师专用切片刀,https://detail.tmall.com/item.htm?id=39240395908&skuId=4611686057667783812&user_id=2069429190&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,33.00,7231.0,293笔,6645
楚家刀旗舰店,9铬钢切片刀 楚家刀手工锻打菜刀厨房家用刀具菜刀不锈钢厨师刀,https://detail.tmall.com/item.htm?id=20595391140&skuId=3418167671406&user_id=1104789908&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,128.00,238.0,35笔,168
周家刀旗舰店,手工锻打夹钢夹切菜刀具厨房用具家用苏钢刀小切片菜刀女士周家刀,https://detail.tmall.com/item.htm?id=45357206064&skuId=4611686063784593968&user_id=2421072120&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,105.00,160.0,22笔,116
德世朗礼源专卖店,德世朗菜刀家用厨房切菜刀德国不锈钢厨刀切片刀手工锻打切肉刀具,https://detail.tmall.com/item.htm?id=537726859029&skuId=3210976331709&user_id=2460731286&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,165.00,556.0,168笔,220
锐帝斯旗舰店,锐帝斯复合钢厨房刀 斩切两用菜刀手工 不锈钢刀具 砍骨切片菜刀,https://detail.tmall.com/item.htm?id=43875809736&skuId=78163861875&user_id=2373998650&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,395.00,26.0,4笔,18
拓旗舰店,拓牌菜刀 家用不锈钢厨刀锋利切菜刀切片刀德国进口钢材厨房刀具,https://detail.tmall.com/item.htm?id=529728527133&skuId=3204407299118&user_id=2830140553&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,147.00,446.0,115笔,216
王麻子旗舰店,王麻子不锈钢柄片刀 DC28（包邮）,https://detail.tmall.com/item.htm?id=20140518196&skuId=4611686038567906100&user_id=1749264199&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,88.00,408.0,35笔,338
美珑美利家居旗舰店,美珑美利 正品 龙渊系列菜刀 大马士革钢刀材质厨房刀具,https://detail.tmall.com/item.htm?id=39456170569&skuId=4611686057883558473&user_id=842743389&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,599.00,93.0,14笔,65
胡子王旗舰店,金门菜刀胡子王千喜紫片刀炮弹钢刀具菜刀德国锋利切片刀厨刀,https://detail.tmall.com/item.htm?id=17908532249&skuId=4611686036335920153&user_id=879857894&cat_id=2&is_b=1&rn=c6d596f44edd1a569543bdc5c251da97,78.00,1402.0,272笔,858
